,CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
2255988,2017000106644,PROBLEM SOLVING PROJECT,ONVIEW,4,REQUEST TO WATCH,--PREMISE CHECKS - REQUEST TO WATCH,03/27/2017 05:02:47 AM,03/27/2017 05:02:47 AM,SOUTH,OCEAN,O3
602424,2022000027644,ASSISTANCE RENDERED,ONVIEW,9,-ASSIGNED DUTY - DETAIL BY SUPERVISOR,--MISCHIEF OR NUISANCE - GENERAL,02/02/2022 09:42:35 AM,02/02/2022 09:42:35 AM,WEST,KING,K1
4322263,2020000160933,ASSISTANCE RENDERED,911,3,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED",--DISTURBANCE - OTHER,05/15/2020 11:23:01 PM,05/15/2020 11:33:28 PM,SOUTH,ROBERT,R1
1660533,2021000000962,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,01/02/2021 10:16:02 AM,01/02/2021 10:16:02 AM,WEST,DAVID,D3
717846,2018000405368,DUPLICATED OR CANCELLED BY RADIO,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),10/29/2018 05:54:26 PM,01/01/1900 12:00:00 AM,NORTH,LINCOLN,L2
593820,2021000157964,NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,TRESPASS,--PROWLER - TRESPASS,06/24/2021 11:02:12 PM,01/01/1900 12:00:00 AM,NORTH,LINCOLN,L3
2468962,2019000255821,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,NUISANCE - MISCHIEF,--MISCHIEF OR NUISANCE - GENERAL,07/12/2019 08:51:59 PM,07/12/2019 09:12:50 PM,SOUTHWEST,FRANK,F1
2651296,2020000063174,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,02/19/2020 04:19:09 PM,02/19/2020 04:19:09 PM,WEST,MARY,M1
346189,2019000117647,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,04/03/2019 08:19:42 AM,04/03/2019 08:50:03 AM,NORTH,BOY,B2
784470,2017000073616,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - REQUEST TO WATCH,03/01/2017 04:38:28 AM,03/01/2017 04:38:28 AM,NORTH,LINCOLN,L1
